date,period,gender_filter,rank,clothing_rank,category_code,category_name,product_id,brand,product_name,final_price,original_price,discount_rate,sales_label,viewers,flag,sold_out,image_url,product_url
2026-09-27,MONTHLY,F,183,104,002,아우터,4290697,타입서비스,Hooded Half Coat [Gray],153800,268000,43,판매 4.8천개,210명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20240801/4290697/4290697_17883979451202_500.jpg,https://www.musinsa.com/products/4290697
2026-09-27,MONTHLY,F,185,105,002,아우터,6918831,아디다스,파이어버드 클래식 트랙탑 - 블랙:화이트 / KV9552,91990,109000,16,,63명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260724/6918831/6918831_17853137498938_500.jpg,https://www.musinsa.com/products/6918831
2026-09-27,MONTHLY,F,188,106,002,아우터,5930123,스웨이드,CROPPED WASHED HOOD ZIP UP [WASHING NAVY],72840,109000,33,판매 1.5천개,396명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260123/5930123/5930123_17691350435097_500.jpg,https://www.musinsa.com/products/5930123
2026-09-27,MONTHLY,F,190,107,001,상의,6951094,마이초이도쿄,MAICHOI Vintage Patch Hoodie [3color],51320,109000,53,,474명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260729/6951094/6951094_17899520855312_500.jpg,https://www.musinsa.com/products/6951094
2026-09-27,MONTHLY,F,191,108,002,아우터,5162181,무신사 스탠다드 우먼,[시티 레저] 우먼즈 후디드 라이트 다운 재킷 [모카 브라운],99900,109900,9,판매 4.4천개,92명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250602/5162181/5162181_17888604816626_500.jpg,https://www.musinsa.com/products/5162181
2026-09-27,MONTHLY,F,192,109,002,아우터,5592568,레터프롬문,시프네 더블 버튼 퍼 자켓 ( 아이보리 ),146300,220000,34,,483명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20251015/5592568/5592568_17621407961192_500.jpg,https://www.musinsa.com/products/5592568
2026-09-27,MONTHLY,F,193,110,003,바지,6501146,무신사 스탠다드 우먼,우먼즈 솔리드 CP 커브드 치노 팬츠 [베이지],39920,49900,20,,180명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260518/6501146/6501146_17858904748319_500.jpg,https://www.musinsa.com/products/6501146
2026-09-27,MONTHLY,F,194,111,002,아우터,4209444,무신사 스탠다드 우먼,우먼즈 신세틱 스웨이드 레이서 재킷 [블랙],116910,129900,10,판매 2.4천개,20명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20240620/4209444/4209444_17576348265431_500.jpg,https://www.musinsa.com/products/4209444
2026-09-27,MONTHLY,F,195,112,003,바지,6314159,로제프란츠,Patchwork Bootcut Sweatpants [Charcoal],62400,104000,40,판매 1.6천개,298명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260415/6314159/6314159_17762301169018_500.jpg,https://www.musinsa.com/products/6314159
2026-09-27,MONTHLY,F,196,113,003,바지,2820939,무신사 스탠다드 우먼,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [블랙],27880,39900,30,판매 2.9만개,105명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20220927/2820939/2820939_17625014945098_500.jpg,https://www.musinsa.com/products/2820939
