date,period,gender_filter,rank,clothing_rank,category_code,category_name,product_id,brand,product_name,final_price,original_price,discount_rate,sales_label,viewers,flag,sold_out,image_url,product_url
2026-09-25,DAILY,M,4,1,001,상의,6948481,트릴리온,[기획] 에센셜 CP 이중지 크롭 긴팔티_7color,19990,39000,49,판매 2.8만개,1.9천명이 보는 중 / 152명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260729/6948481/6948481_17853044768380_500.jpg,https://www.musinsa.com/products/6948481
2026-09-25,DAILY,M,7,2,002,아우터,7108774,디미트리블랙,[10주년기획] © 모두의 Comfortemp® 미드웨이트 패딩_4 COLOR,69900,133400,48,판매 4.7천개,1.9천명이 보는 중 / 42명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260819/7108774/7108774_17885055232191_500.jpg,https://www.musinsa.com/products/7108774
2026-09-25,DAILY,M,11,3,002,아우터,5329359,아디다스,후드 집업 - 블랙:크림화이트 / KC9315,94990,119000,20,판매 2.5만개,852명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250818/5329359/5329359_17569461399483_500.jpg,https://www.musinsa.com/products/5329359
2026-09-25,DAILY,M,12,4,002,아우터,5532467,수아레,(컬러 추가) 라이트 시어쉘 패딩 점퍼 - 6 COLOR,64350,165000,61,판매 4만개,2.2천명이 보는 중 / 114명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250925/5532467/5532467_17875486261088_500.jpg,https://www.musinsa.com/products/5532467
2026-09-25,DAILY,M,16,5,003,바지,5682006,텍스,[린넨 라이크/사계절용선택] TX304 커브드 배기 벌룬 데님 (블랙),28650,85000,66,판매 2.3만개,746명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20251104/5682006/5682006_17808938363291_500.jpg,https://www.musinsa.com/products/5682006
2026-09-25,DAILY,M,21,6,001,상의,7220362,알리스,데님 레이어드 크롭 니트 풀오버 [미드블루],59280,74000,20,급상승,422명이 보는 중,급상승 라벨,False,https://image.msscdn.net/images/goods_img/20260901/7220362/7220362_17883484507047_500.jpg,https://www.musinsa.com/products/7220362
2026-09-25,DAILY,M,22,7,002,아우터,5437995,언더오프,세미 오버 크롭핏 라운드 가디건 다크그레이,25400,56900,55,판매 1.1만개,396명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250910/5437995/5437995_17574914279504_500.jpg,https://www.musinsa.com/products/5437995
2026-09-25,DAILY,M,23,8,002,아우터,2737014,프리즘웍스,VINCENT M1965 FISHTAIL PARKA 004 _ OLIVE,197100,219000,10,판매 1.7만개,129명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20220823/2737014/2737014_1_500.jpg,https://www.musinsa.com/products/2737014
2026-09-25,DAILY,M,24,9,002,아우터,5614815,데이,크롭 스웨이드 자켓 (2 STYLE),45570,85000,46,판매 8.1천개,436명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20251020/5614815/5614815_17694826603380_500.jpg,https://www.musinsa.com/products/5614815
2026-09-25,DAILY,M,26,10,002,아우터,7071805,데이,워시드 코튼 트랙 자켓_KHAKI,58150,109000,47,급상승,332명이 보는 중,급상승 라벨,False,https://image.msscdn.net/images/goods_img/20260813/7071805/7071805_17883113376245_500.jpg,https://www.musinsa.com/products/7071805
2026-09-25,DAILY,M,27,11,001,상의,4884577,더니트컴퍼니,수피마 쿨맥스 롱슬리브 3color,9900,36900,73,급상승,1.2천명이 보는 중 / 151명이 구매 중,급상승 라벨,False,https://image.msscdn.net/images/goods_img/20250312/4884577/4884577_17845922555551_500.jpg,https://www.musinsa.com/products/4884577
2026-09-25,DAILY,M,28,12,001,상의,7072533,데이,세미크롭 골지 긴팔 헨리넥 티셔츠_5 COLOR,29500,42500,31,급상승,519명이 보는 중,급상승 라벨,False,https://image.msscdn.net/images/goods_img/20260813/7072533/7072533_17884180644235_500.jpg,https://www.musinsa.com/products/7072533
2026-09-25,DAILY,M,29,13,002,아우터,4796679,디미트리블랙,2WAY OG 에센셜 디트로이트 후드 집업_데님 더스트 인디고,19900,53300,63,판매 5.4천개,463명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250217/4796679/4796679_17628359047962_500.jpg,https://www.musinsa.com/products/4796679
2026-09-25,DAILY,M,30,14,002,아우터,4356794,무신사 스탠다드,[시티 레저] 후디드 라이트 다운 재킷 [블랙],76990,109900,30,판매 2.5만개,493명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20240822/4356794/4356794_17890558965193_500.jpg,https://www.musinsa.com/products/4356794
2026-09-25,DAILY,M,32,15,002,아우터,3551101,블랙모먼트,비건 스웨이드 오버핏 미니멀 인시전 스트레이트 집업 자켓 [브라운],39900,139000,71,판매 4.4만개,605명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20230912/3551101/3551101_16970790961650_500.jpg,https://www.musinsa.com/products/3551101
2026-09-25,DAILY,M,33,16,002,아우터,5874490,아디다스,플레더 3S 트랙탑 - 블랙 / KQ5472,140270,169000,17,판매 2.7천개,135명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260107/5874490/5874490_17678506506569_500.jpg,https://www.musinsa.com/products/5874490
2026-09-25,DAILY,M,34,17,002,아우터,6989098,스키즘 인듀싱,NINJA ZIP HOODIE BLACK,208980,258000,19,,76명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260804/6989098/6989098_17879065231780_500.jpg,https://www.musinsa.com/products/6989098
2026-09-25,DAILY,M,37,18,001,상의,7074174,트릴리온,워셔블 브이넥 레이어드 긴팔 니트_4color,33990,57000,40,급상승,1.1천명이 보는 중,급상승 라벨,False,https://image.msscdn.net/images/prd_img/20260813/7074174/detail_7074174_17876438095838_500.jpg,https://www.musinsa.com/products/7074174
2026-09-25,DAILY,M,39,19,002,아우터,6917752,무신사 스탠다드,[시티 레저] 시어 후디드 라이트 다운 재킷 (9 colors),125890,139900,10,급상승,4.2천명이 보는 중,급상승 라벨,False,https://image.msscdn.net/images/goods_img/20260724/6917752/6917752_17890189553548_500.jpg,https://www.musinsa.com/products/6917752
2026-09-25,DAILY,M,40,20,002,아우터,5311114,언탭트 스튜디오,2WAY 비건 스웨이드 블루종 자켓 3Color,44660,81200,45,판매 2.3만개,563명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250811/5311114/5311114_17890239121962_500.jpg,https://www.musinsa.com/products/5311114
2026-09-25,DAILY,M,41,21,003,바지,5864297,디미트리블랙,[10주년기획] ©모두의 커브드 치노 팬츠_6 COLOR,29900,50000,40,판매 2.5만개,842명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20251231/5864297/5864297_17872891084878_500.jpg,https://www.musinsa.com/products/5864297
2026-09-25,DAILY,M,42,22,002,아우터,7153965,노이즈,에이징 레더 워커 자켓_[BLACK],109800,169000,35,급상승,212명이 보는 중,급상승 라벨,False,https://image.msscdn.net/images/goods_img/20260825/7153965/7153965_17894639362630_500.jpg,https://www.musinsa.com/products/7153965
2026-09-25,DAILY,M,43,23,002,아우터,4945148,아디다스,아디컬러 클래식 트랙탑 (와플) - 원더화이트 / JW0109,109650,129000,15,판매 2.8만개,148명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250326/4945148/4945148_17453139295013_500.jpg,https://www.musinsa.com/products/4945148
2026-09-25,DAILY,M,45,24,001,상의,5453617,수아레,(XXL 추가) 데일리 헨리넥 니트 - 5 COLOR,33000,59000,44,판매 15만개,546명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250912/5453617/5453617_17593914818524_500.jpg,https://www.musinsa.com/products/5453617
2026-09-25,DAILY,M,46,25,002,아우터,6100901,닉켈하우스,닉켈 26 동키 후드집업,89380,149000,40,판매 6.3천개,316명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260309/6100901/6100901_17730403884837_500.jpg,https://www.musinsa.com/products/6100901
2026-09-25,DAILY,M,49,26,003,바지,2578996,시그니처,더블턱 와이드 슬랙스[블랙],29000,59000,51,판매 13만개,297명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20220524/2578996/2578996_17870331293023_500.jpg,https://www.musinsa.com/products/2578996
2026-09-25,DAILY,M,50,27,002,아우터,7071862,데이,스웨이드 레더 트랙 자켓_CHARCOAL BLACK,56750,105000,46,,491명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260813/7071862/7071862_17883115245091_500.jpg,https://www.musinsa.com/products/7071862
2026-09-25,DAILY,M,51,28,003,바지,4993414,시그니처,와이드 커브드 다트 코튼 팬츠[베이지],27900,53000,47,판매 5.4만개,475명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250407/4993414/4993414_17883391236407_500.jpg,https://www.musinsa.com/products/4993414
2026-09-25,DAILY,M,52,29,002,아우터,5424518,데이,크롭 스웨이드 카라 자켓_BROWN,45570,78000,42,판매 4.3천개,383명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250909/5424518/5424518_17610981225431_500.jpg,https://www.musinsa.com/products/5424518
2026-09-25,DAILY,M,54,30,002,아우터,7136626,벤슨 레더스,벤슨 레더 오리지날 본 스웻 집 후디 / 피그먼트,125020,188000,34,,43명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260822/7136626/7136626_17873265296666_500.jpg,https://www.musinsa.com/products/7136626
2026-09-25,DAILY,M,56,31,003,바지,6233645,비긴202,엣지 워크 라보 팬츠 [카키 올리브],99830,149000,33,,162명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260401/6233645/6233645_17866844165326_500.jpg,https://www.musinsa.com/products/6233645
2026-09-25,DAILY,M,57,32,003,바지,7161042,디미트리블랙,VLAD 원턱 커브드 트랙 팬츠_(3심볼 저지) 블랙&아이보리,28900,49200,41,급상승,714명이 보는 중,급상승 라벨,False,https://image.msscdn.net/images/goods_img/20260825/7161042/7161042_17879097376793_500.png,https://www.musinsa.com/products/7161042
2026-09-25,DAILY,M,58,33,003,바지,5866558,어널러코드,브루니 커브드 데님팬츠 (생지),44800,56000,20,판매 1.4만개,145명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260102/5866558/5866558_17673383555799_500.jpg,https://www.musinsa.com/products/5866558
2026-09-25,DAILY,M,59,34,002,아우터,6040017,슬로우애시드,노마드 M-65 코튼 필드 자켓 [블루],95760,168000,43,,211명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260223/6040017/6040017_17865073866975_500.jpg,https://www.musinsa.com/products/6040017
2026-09-25,DAILY,M,60,35,001,상의,5369031,마인드브릿지,와플 헨리넥 데일리 티셔츠 - 4color,27900,59900,53,판매 8.2천개,381명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250827/5369031/5369031_17754535282278_500.jpg,https://www.musinsa.com/products/5369031
2026-09-25,DAILY,M,61,36,002,아우터,6838640,스파오,[씬라이트] 후드 재킷_SPJPG4TC24,48520,59900,19,판매 5.1천개,357명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260714/6838640/6838640_17896088498128_500.jpg,https://www.musinsa.com/products/6838640
